"SourceFile","ID","CreateDate","Duration","LatitudeDD","LongitudeDD","sDuration","Year","Month","Day","Hour","URL","Working"
"meta-CE7LhOl22vJ9.json","CE7LhOl22vJ9","2021:01:06 19:06:28","14.33 s",38.89,-77.0076,14.33,2021,1,6,19,"https://video.parler.com/CE/7L/CE7LhOl22vJ9.mp4",TRUE
"meta-Cg3gG8trkats.json","Cg3gG8trkats","2021:01:06 19:42:21","0:00:32",38.89,-77.0075,32,2021,1,6,19,"https://video.parler.com/Cg/3g/Cg3gG8trkats.mp4",TRUE
"meta-CgZxY8PDNM9m.json","CgZxY8PDNM9m","2021:01:06 21:00:10","0:01:02",38.8899,-77.0103,62,2021,1,6,21,"https://video.parler.com/Cg/Zx/CgZxY8PDNM9m.mp4",TRUE
"meta-CjBp5eYn9SIM.json","CjBp5eYn9SIM","2021:01:06 17:00:04","12.47 s",38.8937,-77.0367,12.47,2021,1,6,17,"https://video.parler.com/Cj/Bp/CjBp5eYn9SIM.mp4",TRUE
"meta-cJtt6jzaEVsY.json","cJtt6jzaEVsY","2021:01:06 18:55:09","13.26 s",38.892,-77.023,13.26,2021,1,6,18,"https://video.parler.com/cJ/tt/cJtt6jzaEVsY.mp4",TRUE
"meta-CKSVgexBTTpn.json","CKSVgexBTTpn","2021:01:06 18:21:56","18.68 s",38.8898,-77.0108,18.68,2021,1,6,18,"https://video.parler.com/CK/SV/CKSVgexBTTpn.mp4",TRUE
"meta-ckvcLvKYv4cd.json","ckvcLvKYv4cd","2021:01:06 20:10:24","18.61 s",38.8898,-77.01,18.61,2021,1,6,20,"https://video.parler.com/ck/vc/ckvcLvKYv4cd.mp4",TRUE
"meta-cmzbWnPI5Jgs.json","cmzbWnPI5Jgs","2021:01:06 19:09:54","0:04:31",38.8901,-77.0108,271,2021,1,6,19,"https://video.parler.com/cm/zb/cmzbWnPI5Jgs.mp4",TRUE
"meta-cONvl0p08sMY.json","cONvl0p08sMY","2021:01:06 18:55:26","5.60 s",38.8902,-77.0104,5.6,2021,1,6,18,"https://video.parler.com/cO/Nv/cONvl0p08sMY.mp4",TRUE
"meta-CQtHtEEczheT.json","CQtHtEEczheT","2021:01:06 18:17:50","10.37 s",38.8915,-77.0152,10.37,2021,1,6,18,"https://video.parler.com/CQ/tH/CQtHtEEczheT.mp4",TRUE
"meta-CtpFcLr34Uql.json","CtpFcLr34Uql","2021:01:06 16:58:02","28.39 s",38.8917,-77.0356,28.39,2021,1,6,16,"https://video.parler.com/Ct/pF/CtpFcLr34Uql.mp4",TRUE
"meta-cwoMBUgoUj8T.json","cwoMBUgoUj8T","2021:01:06 23:02:25","23.87 s",38.8907,-77.012,23.87,2021,1,6,23,"https://video.parler.com/cw/oM/cwoMBUgoUj8T.mp4",TRUE
"meta-CxuimH5Nb5do.json","CxuimH5Nb5do","2021:01:06 17:47:37","0:00:33",38.8908,-77.0371,33,2021,1,6,17,"https://video.parler.com/Cx/ui/CxuimH5Nb5do.mp4",TRUE
"meta-D1hTLKXn3FIC.json","D1hTLKXn3FIC","2021:01:06 16:32:43","16.91 s",38.8921,-77.0368,16.91,2021,1,6,16,"https://video.parler.com/D1/hT/D1hTLKXn3FIC.mp4",TRUE
"meta-D1nBUG3Qu3sw.json","D1nBUG3Qu3sw","2021:01:06 21:06:51","25.10 s",38.8896,-77.0102,25.1,2021,1,6,21,"https://video.parler.com/D1/nB/D1nBUG3Qu3sw.mp4",TRUE
"meta-d1zM5ane4tm1.json","d1zM5ane4tm1","2021:01:06 14:05:02","5.43 s",38.892,-77.0355,5.43,2021,1,6,14,"https://video.parler.com/d1/zM/d1zM5ane4tm1.mp4",TRUE
